hhid,areaid,treatment,hh_edu,hh_gender,hh_size,children,old_biz,area_pop_base,area_debt_total_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,anyloan_amt_2,informal_amt_2,female_biz_pct_2,hours_week_2,durables_exp_mo_2,temptation_exp_mo_2,total_exp_mo_2,bizprofit_2,bizrev_2,bizemployees_2,girls_school_2,bizassets_2
2457,42,1,1.0,1.0,2.0,2.0,0.0,0,0,3,3,2,2,40000.0,24989.367856955796,0.0,64.0,0.0,374.8405,5276.366,279.04794,445.64374,0.0,0.5,0.0
2458,38,0,0.0,1.0,2.0,2.0,1.0,0,2,3,1,1,0,,,,,,,,,,,,
2459,38,0,1.0,1.0,2.0,0.0,0.0,0,2,3,1,1,0,55000.0,24989.367856955796,,88.0,55.531925,1203.6545,7759.1987,0.0,0.0,0.0,,0.0
2460,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,25000.0,0.0,,48.0,222.1277,166.59578,14067.209,0.0,0.0,0.0,1.0,0.0
2461,38,0,0.0,1.0,3.0,2.0,0.0,0,2,3,1,1,0,30000.0,0.0,0.0,128.0,1652.0748,458.1384,11171.079,2324.0112,2324.0112,0.0,0.0,0.0
2462,38,0,0.0,1.0,2.0,0.0,0.0,0,2,3,1,1,0,,,,,,,,,,,,
2463,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,8500.0,4581.384107108563,,98.0,645.55865,0.0,3586.5295,0.0,0.0,0.0,,0.0
2464,38,0,0.0,1.0,2.0,0.0,0.0,0,2,3,1,1,0,14000.0,8329.789285651932,,63.0,242.9522,49.978737,6771.563,0.0,0.0,0.0,1.0,0.0
2465,38,0,0.0,1.0,1.0,1.0,0.0,0,2,3,1,1,0,4000.0,0.0,,119.0,249.89368,83.29789,3453.8083,0.0,0.0,0.0,,0.0
2466,38,0,1.0,1.0,2.0,1.0,0.0,0,2,3,1,1,0,6000.0,832.9789285651932,,96.0,20.824472,0.0,4096.035,0.0,0.0,0.0,1.0,0.0
2467,38,0,1.0,1.0,0.0,0.0,1.0,0,2,3,1,1,0,5000.0,4164.894642825966,0.0,153.0,27.765963,349.85114,3220.8518,764.6747,6495.57,0.0,,0.0
2468,38,0,0.0,1.0,3.0,1.0,1.0,0,2,3,1,1,0,100000.0,83297.89285651932,0.0,66.0,208.24474,383.17032,8490.832,-12128.173,8329.789,0.0,,53310.652
2469,38,0,1.0,1.0,2.0,0.0,0.0,0,2,3,1,1,0,76000.0,832.9789285651932,,96.0,138.82982,166.59578,5214.4478,0.0,0.0,0.0,,0.0
2470,38,0,0.0,1.0,1.0,0.0,1.0,0,2,3,1,1,0,205000.0,124946.83928477898,1.0,104.0,3123.671,83.29789,8304.8,2665.5325,2915.4263,0.0,,8996.173
2471,38,0,0.0,1.0,2.0,2.0,0.0,0,2,3,1,1,0,0.0,0.0,,70.0,0.0,174.92557,1253.2168,0.0,0.0,0.0,1.0,0.0
2472,38,0,0.0,1.0,1.0,1.0,0.0,0,2,3,1,1,0,31000.0,9995.747142782318,,54.0,23.253996,474.798,5116.3647,0.0,0.0,0.0,1.0,0.0
2474,38,0,0.0,1.0,3.0,3.0,0.0,0,2,3,1,1,0,29000.0,0.0,,288.0,1405.652,749.681,12899.928,0.0,0.0,0.0,0.0,0.0
2475,38,0,0.0,1.0,2.0,0.0,0.0,0,2,3,1,1,0,,,,,,,,,,,,
2476,32,0,0.0,1.0,1.0,0.0,0.0,3,3,0,0,2,1,6000.0,2498.9367856955796,,134.0,111.06385,0.0,2796.3103,0.0,0.0,0.0,0.0,0.0
2477,38,0,1.0,1.0,2.0,1.0,1.0,0,2,3,1,1,0,10000.0,8329.789285651932,0.0,95.0,104.12237,0.0,3723.4158,3025.3794,3265.2773,0.0,0.5,0.0
2478,38,0,1.0,1.0,2.0,3.0,1.0,0,2,3,1,1,0,0.0,0.0,,165.0,55.531925,166.59578,3523.223,0.0,0.0,0.0,1.0,0.0
2479,38,0,1.0,0.0,3.0,3.0,0.0,0,2,3,1,1,0,30700.0,6413.937749951988,,85.0,128.41759,0.0,3470.8845,0.0,0.0,0.0,1.0,1665.9579
2480,38,0,0.0,1.0,1.0,1.0,0.0,0,2,3,1,1,0,,,,,,,,,,,,
2481,38,0,0.0,1.0,3.0,3.0,0.0,0,2,3,1,1,0,0.0,0.0,,60.0,111.06385,83.29789,6830.427,0.0,0.0,0.0,0.0,0.0
