,n_per_pol,sim_num,num_pools,MSE,IOU,min_dosage,best_pol_diff
1270,100,46,8,1.0398979018235754,0.5,False,-0.033822217096041385
1271,100,46,9,1.041597941783968,1.0,True,0.09540737087577078
1272,100,46,9,1.0375121308073312,1.0,True,0.09540737087577078
1273,100,47,4,1.4397217242764402,0.6666666666666666,True,0.5499252860828774
1274,100,47,6,1.319199758695186,0.5,True,-0.07148473082252593
1275,100,47,6,1.0365028082895693,1.0,True,0.027428761741646213
1276,100,47,8,1.0349327515300237,0.5,True,-0.07148473082252593
1277,100,47,9,1.0319878752762466,1.0,True,0.027428761741646213
1278,100,47,9,1.0300982767633455,1.0,True,0.027428761741646213
1279,100,48,4,1.4074180639584415,0.6666666666666666,True,0.7076987265218557
1280,100,48,6,1.3121084095407367,0.5,True,0.21877050372595352
1281,100,48,4,1.5904206341977525,0.6666666666666666,True,1.1152267407381
1282,100,48,6,1.0070463190528884,1.0,True,0.16594089464225892
1283,100,48,8,1.0066969745015053,0.5,False,0.1131112855585652
1284,100,48,9,1.0062421904078191,1.0,True,0.16594089464225892
1285,100,48,9,1.0058699683530772,1.0,True,0.16594089464225892
1286,100,49,4,1.3311120463811716,0.6666666666666666,True,0.422880184611242
1287,100,49,6,1.3297291941943872,0.6666666666666666,True,0.422880184611242
1288,100,49,6,1.3303047824983418,0.6666666666666666,True,0.422880184611242
1289,100,49,6,1.2674216463127075,0.5,True,-0.03218205668343188
1290,100,49,6,1.0027187326155174,1.0,True,-0.030057712872932463
1291,100,49,8,1.000551678518566,0.5,True,-0.03218205668343188
1292,100,49,9,1.0006616091449527,1.0,True,-0.030057712872932463
1293,100,49,9,1.001052399192798,1.0,True,-0.030057712872932463
1294,100,50,4,1.3523883768765004,0.6666666666666666,True,0.46430475025849205
1295,100,50,6,1.3521977036918202,0.6666666666666666,True,0.46430475025849205
1296,100,50,6,1.351874219343932,0.6666666666666666,True,0.46430475025849205
1297,100,50,6,1.2592748492041381,0.5,True,-0.11023466257056302
1298,100,50,6,0.9921340485990029,1.0,True,-0.05073121609488229
1299,100,50,8,0.9916434599690949,0.5,True,-0.11023466257056302
1300,100,50,9,0.9918508844794153,1.0,True,-0.05073121609488229
1301,100,50,9,0.9908423889486809,1.0,True,-0.05073121609488229
1302,100,51,4,1.3952083711686363,0.6666666666666666,True,0.5129437661440681
1303,100,51,6,1.3950051910041656,0.6666666666666666,True,0.5129437661440681
