,n_per_pol,sim_num,MSE,IOU,min_dosage,best_pol_diff,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
75,10,75,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
76,10,76,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
77,10,77,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
78,10,78,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
79,10,79,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
80,10,80,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
81,10,81,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
82,10,82,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
83,10,83,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
84,10,84,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
85,10,85,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
86,10,86,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
87,10,87,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
88,10,88,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
89,10,89,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
90,10,90,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
91,10,91,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
92,10,92,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
93,10,93,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
94,10,94,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
95,10,95,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
96,10,96,1.0888133518525358,0.0,False,-0.19554017311752814,1,0,1,0,0,0,0,0
