,n_per_pol,sim_num,MSE,L1_loss,IOU,min_dosage,best_pol_diff
2,10,2,1.213292349110306,1.7537833954487914,0.0,False,0.5950895366151467
3,10,3,1.4381255668252508,1.9727185452642746,0.0,False,0.654070215609762
4,10,4,1.4551325291893087,1.9675493957490215,0.0,False,0.8758313344028714
5,10,5,1.23571365903627,1.791264097009807,0.0,False,0.44449562026463063
6,10,6,1.4011509676624319,1.9128440312560864,0.0,False,0.8830693640634539
7,10,7,1.3508591391904747,1.8286034113397442,0.0,False,1.2225572785073044
8,10,8,1.316287706530741,1.861290388230846,0.0,False,0.5499731829989489
9,10,9,1.3575795915774882,1.8525142499129343,0.6666666666666666,True,1.0506534166455381
10,10,10,1.2590946975580295,1.7521357027492304,0.0,False,1.0695899480879918
11,10,11,1.3809834799036853,1.9041287444722155,0.0,False,0.7685473543147001
12,10,12,1.2741799962224882,1.7813383135432073,0.0,False,0.9284168267928097
13,10,13,1.2933611205352442,1.8881982546563916,0.0,False,0.05162865878852685
14,10,14,1.1887567982645877,1.7264333333558213,0.0,False,0.6232346490876637
15,10,15,1.240131114219717,1.7771036182705116,0.0,False,0.630274959492052
