,n_per_pol,sim_num,MSE,L1_loss,IOU,min_dosage,best_pol_diff,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
91,10,91,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
92,10,92,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
93,10,93,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
94,10,94,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
95,10,95,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
96,10,96,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
97,10,97,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
98,10,98,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
99,10,99,1.7771514186598865,2.525147058416261,0.0,False,0.9431674984281346,0,0,0,0,0,0,0,1
100,100,0,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
101,100,1,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
102,100,2,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
103,100,3,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
104,100,4,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
105,100,5,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
106,100,6,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
107,100,7,1.8155346092542106,2.584284245837528,0.0,False,0.9864084578125971,0,0,0,0,0,1,0,0
