,n_per_pol,sim_num,MSE,IOU,min_dosage,best_pol_diff
89,10,89,0.8776150243181726,1.0,True,-0.42721462457783055
90,10,90,0.8776150243181726,1.0,True,-0.42721462457783055
91,10,91,0.8776150243181726,1.0,True,-0.42721462457783055
92,10,92,0.8776150243181726,1.0,True,-0.42721462457783055
93,10,93,0.8776150243181726,1.0,True,-0.42721462457783055
94,10,94,0.8776150243181726,1.0,True,-0.42721462457783055
95,10,95,0.8776150243181726,1.0,True,-0.42721462457783055
96,10,96,0.8776150243181726,1.0,True,-0.42721462457783055
97,10,97,0.8776150243181726,1.0,True,-0.42721462457783055
98,10,98,0.8776150243181726,1.0,True,-0.42721462457783055
99,10,99,0.8776150243181726,1.0,True,-0.42721462457783055
100,100,0,1.0130463037457877,1.0,True,-0.06683287975288899
101,100,1,1.0130463037457877,1.0,True,-0.06683287975288899
102,100,2,1.0130463037457877,1.0,True,-0.06683287975288899
103,100,3,1.0130463037457877,1.0,True,-0.06683287975288899
104,100,4,1.0130463037457877,1.0,True,-0.06683287975288899
105,100,5,1.0130463037457877,1.0,True,-0.06683287975288899
106,100,6,1.0130463037457877,1.0,True,-0.06683287975288899
107,100,7,1.0130463037457877,1.0,True,-0.06683287975288899
108,100,8,1.0130463037457877,1.0,True,-0.06683287975288899
109,100,9,1.0130463037457877,1.0,True,-0.06683287975288899
110,100,10,1.0130463037457877,1.0,True,-0.06683287975288899
111,100,11,1.0130463037457877,1.0,True,-0.06683287975288899
112,100,12,1.0130463037457877,1.0,True,-0.06683287975288899
113,100,13,1.0130463037457877,1.0,True,-0.06683287975288899
114,100,14,1.0130463037457877,1.0,True,-0.06683287975288899
115,100,15,1.0130463037457877,1.0,True,-0.06683287975288899
116,100,16,1.0130463037457877,1.0,True,-0.06683287975288899
117,100,17,1.0130463037457877,1.0,True,-0.06683287975288899
118,100,18,1.0130463037457877,1.0,True,-0.06683287975288899
119,100,19,1.0130463037457877,1.0,True,-0.06683287975288899
120,100,20,1.0130463037457877,1.0,True,-0.06683287975288899
121,100,21,1.0130463037457877,1.0,True,-0.06683287975288899
122,100,22,1.0130463037457877,1.0,True,-0.06683287975288899
123,100,23,1.0130463037457877,1.0,True,-0.06683287975288899
124,100,24,1.0130463037457877,1.0,True,-0.06683287975288899
125,100,25,1.0130463037457877,1.0,True,-0.06683287975288899
126,100,26,1.0130463037457877,1.0,True,-0.06683287975288899
127,100,27,1.0130463037457877,1.0,True,-0.06683287975288899
128,100,28,1.0130463037457877,1.0,True,-0.06683287975288899
129,100,29,1.0130463037457877,1.0,True,-0.06683287975288899
130,100,30,1.0130463037457877,1.0,True,-0.06683287975288899
131,100,31,1.0130463037457877,1.0,True,-0.06683287975288899
132,100,32,1.0130463037457877,1.0,True,-0.06683287975288899
133,100,33,1.0130463037457877,1.0,True,-0.06683287975288899
134,100,34,1.0130463037457877,1.0,True,-0.06683287975288899
135,100,35,1.0130463037457877,1.0,True,-0.06683287975288899
136,100,36,1.0130463037457877,1.0,True,-0.06683287975288899
137,100,37,1.0130463037457877,1.0,True,-0.06683287975288899
138,100,38,1.0130463037457877,1.0,True,-0.06683287975288899
139,100,39,1.0130463037457877,1.0,True,-0.06683287975288899
140,100,40,1.0130463037457877,1.0,True,-0.06683287975288899
141,100,41,1.0130463037457877,1.0,True,-0.06683287975288899
142,100,42,1.0130463037457877,1.0,True,-0.06683287975288899
143,100,43,1.0130463037457877,1.0,True,-0.06683287975288899
144,100,44,1.0130463037457877,1.0,True,-0.06683287975288899
145,100,45,1.0130463037457877,1.0,True,-0.06683287975288899
146,100,46,1.0130463037457877,1.0,True,-0.06683287975288899
147,100,47,1.0130463037457877,1.0,True,-0.06683287975288899
148,100,48,1.0130463037457877,1.0,True,-0.06683287975288899
149,100,49,1.0130463037457877,1.0,True,-0.06683287975288899
150,100,50,1.0130463037457877,1.0,True,-0.06683287975288899
151,100,51,1.0130463037457877,1.0,True,-0.06683287975288899
152,100,52,1.0130463037457877,1.0,True,-0.06683287975288899
153,100,53,1.0130463037457877,1.0,True,-0.06683287975288899
154,100,54,1.0130463037457877,1.0,True,-0.06683287975288899
155,100,55,1.0130463037457877,1.0,True,-0.06683287975288899
156,100,56,1.0130463037457877,1.0,True,-0.06683287975288899
157,100,57,1.0130463037457877,1.0,True,-0.06683287975288899
158,100,58,1.0130463037457877,1.0,True,-0.06683287975288899
159,100,59,1.0130463037457877,1.0,True,-0.06683287975288899
160,100,60,1.0130463037457877,1.0,True,-0.06683287975288899
161,100,61,1.0130463037457877,1.0,True,-0.06683287975288899
162,100,62,1.0130463037457877,1.0,True,-0.06683287975288899
163,100,63,1.0130463037457877,1.0,True,-0.06683287975288899
164,100,64,1.0130463037457877,1.0,True,-0.06683287975288899
165,100,65,1.0130463037457877,1.0,True,-0.06683287975288899
166,100,66,1.0130463037457877,1.0,True,-0.06683287975288899
167,100,67,1.0130463037457877,1.0,True,-0.06683287975288899
168,100,68,1.0130463037457877,1.0,True,-0.06683287975288899
169,100,69,1.0130463037457877,1.0,True,-0.06683287975288899
